database,0,0,0,0,0,0,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,CNPL(UU),HH demand for L,,,gdp,UU,2.723618692,2.719143959,2.730548559,2.742472442,2.768314879,2.778614406,2.809007431,2.818645227,2.824002272,2.816297063,2.815748883,2.811495683,2.827030618,2.819793394,2.84439152,2.865474796,2.850870472,2.837634689,2.832645167,2.836361185,2.846851802,2.855122578,2.845990024,2.851656123,2.854129183
38,CNPL(NN),HH demand for L,,,gdp,NN,2.723618692,2.719143959,2.730548559,2.742472442,2.768314879,2.778614406,2.809007431,2.818645227,2.824002272,2.816297063,2.815748883,2.811495683,2.827030618,2.819793394,2.84439152,2.865474796,2.850870472,2.837634689,2.832645167,2.836361185,2.846851802,2.855122578,2.845990024,2.851656123,2.854129183
39,CNPO(UU),HH demand for M,,,gdp,UU,52.33712471,52.25113812,52.4702892,52.69941883,53.19600775,53.39392373,53.97795685,54.16315696,54.26609808,54.11803459,54.10750075,54.02577115,54.32429085,54.18522017,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
40,CNPO(NN),HH demand for M,,,gdp,NN,52.33712471,52.25113812,52.4702892,52.69941883,53.19600775,53.39392373,53.97795685,54.16315696,54.26609808,54.11803459,54.10750075,54.02577115,54.32429085,54.18522017,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
41,"CON(g01,UU)",HH demand for goods,,,gdp,UU,2.135249135,2.131741055,2.140681977,2.150030004,2.17028983,2.178364403,2.202191776,2.209747568,2.213947358,2.207906666,2.207476906,2.204142504,2.216321505,2.210647702,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
42,"CON(g01,NN)",HH demand for goods,,,gdp,NN,2.135249135,2.131741055,2.140681977,2.150030004,2.17028983,2.178364403,2.202191776,2.209747568,2.213947358,2.207906666,2.207476906,2.204142504,2.216321505,2.210647702,2.22993202,2.246460782,2.235011356,2.224634833,2.220723172,2.223636437,2.231860819,2.238344901,2.231185207,2.235627287,2.237566105
43,"CON(g02,UU)",HH demand for goods,,,gdp,UU,52.33712471,52.25113812,52.4702892,52.69941883,53.19600775,53.39392373,53.97795685,54.16315696,54.26609808,54.11803459,54.10750075,54.02577115,54.32429085,54.18522017,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
44,"CON(g02,NN)",HH demand for goods,,,gdp,NN,52.33712471,52.25113812,52.4702892,52.69941883,53.19600775,53.39392373,53.97795685,54.16315696,54.26609808,54.11803459,54.10750075,54.02577115,54.32429085,54.18522017,54.65789839,55.06303513,54.78239808,54.52805896,54.43218016,54.50358726,54.70517521,54.86410665,54.68861527,54.79749517,54.84501756
45,CONP(UU),national accounts C,,,gdp,UU,65.19232223,65.08521536,65.35819497,65.64360408,66.26216663,66.5086953,67.23618034,67.46686986,67.59509567,67.4106644,67.3975432,67.29573894,67.66758192,67.49435229,68.08313112,68.58777873,68.23821078,67.92140014,67.80197132,67.89091764,68.14202021,68.33998886,68.12139277,68.25701607,68.31621104
46,CONP(NN),national accounts C,,,gdp,NN,65.19232223,65.08521536,65.35819497,65.64360408,66.26216663,66.5086953,67.23618034,67.46686986,67.59509567,67.4106644,67.3975432,67.29573894,67.66758192,67.49435229,68.08313112,68.58777873,68.23821078,67.92140014,67.80197132,67.89091764,68.14202021,68.33998886,68.12139277,68.25701607,68.31621104
47,CURN(UU),"current account, dom currency, using INAS",,,gdp,UU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,CURN(NN),"current account, dom currency, using INAS",,,gdp,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,CURR(UU),"current account, US$, using IRAS",,,gdp,UU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,CURR(NN),"current account, US$, using IRAS",,,gdp,NN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,DEFI(UU),"fiscal deficit, using INTR",,,gdp,UU,2.656638367,1.555324332,0.306725632,-0.342509037,-1.05368666,1.366195178,4.698461714,5.430572595,4.361407668,3.134801489,2.256831527,3.228727005,7.15734608,12.60604588,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
52,DEFI(NN),"fiscal deficit, using INTR",,,gdp,NN,2.656638367,1.555324332,0.306725632,-0.342509037,-1.05368666,1.366195178,4.698461714,5.430572595,4.361407668,3.134801489,2.256831527,3.228727005,7.15734608,12.60604588,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
53,DEFN(UU),"fiscal deficit, using INTN",,,gdp,UU,3.531598513,2.086247086,0.933278146,0.520724299,-0.312194175,1.896226415,5.366972477,6.460869565,5.819672131,4.515384615,3.442028986,4.089655172,7.551020408,13.33333333,12.53333333,11.16129032,9.320987654,5.952380952,5.377142857,4.71978022,5.454545455,4.328205128,6.650485437,7.056074766,6.950672646
54,DEFN(NN),"fiscal deficit, using INTN",,,gdp,NN,3.531598513,2.086247086,0.933278146,0.520724299,-0.312194175,1.896226415,5.366972477,6.460869565,5.819672131,4.515384615,3.442028986,4.089655172,7.551020408,13.33333333,12.53333333,11.16129032,9.320987654,5.952380952,5.377142857,4.71978022,5.454545455,4.328205128,6.650485437,7.056074766,6.950672646
55,DEFX(UU),"fiscal deficit, using INTR (exog)",,,gdp,UU,2.656638367,1.555324332,0.306725632,-0.342509037,-1.05368666,1.366195178,4.698461714,5.430572595,4.361407668,3.134801489,2.256831527,3.228727005,7.15734608,12.60604588,11.08615616,9.702823325,7.924929411,4.479064614,4.542459882,3.893550981,3.937716767,2.365775813,5.184425725,5.227210352,5.04047603
