137,"IMQT(UU)","value of imports at dest","gdp","UU",
138,"IMQT(NN)","value of imports at dest","gdp","NN",
139,"INAS(UU)","net int pmts on for assets using INTN (USD)","gdp","UU",
140,"INAS(NN)","net int pmts on for assets using INTN (USD)","gdp","NN",
141,"INCM(UU)","after tax household income","gdp","UU",
142,"INCM(NN)","after tax household income","gdp","NN",
143,"INFL(UU)","inflation rate in PRCT","del","UU",
144,"INFL(NN)","inflation rate in PRCT","del","NN",
145,"INFP(UU)","inflation rate in PRID","del","UU",
146,"INFP(NN)","inflation rate in PRID","del","NN",
147,"INFX(UU)","inflation target","del","UU",
148,"INFX(NN)","inflation target","del","NN",
149,"INPL(UU)","desired interest rate, short-run,  (lagged)","del","UU",
150,"INPL(NN)","desired interest rate, short-run,  (lagged)","del","NN",
151,"INPN(UU)","desired interest rate, short-run, nominal","del","UU",
152,"INPN(NN)","desired interest rate, short-run, nominal","del","NN",
153,"INS(UU,g01)","agg I demand shocks","gdp","UU",
154,"INS(UU,g02)","agg I demand shocks","gdp","UU",
155,"INS(NN,g01)","agg I demand shocks","gdp","NN",
156,"INS(NN,g02)","agg I demand shocks","gdp","NN",
157,"INTF(UU)","risk free interest rate, short-run, real","del","UU",
158,"INTF(NN)","risk free interest rate, short-run, real","del","NN",
159,"INTL(UU)","interest rate, short-run, nominal (lagged)","del","UU",
160,"INTL(NN)","interest rate, short-run, nominal (lagged)","del","NN",
161,"INTN(UU)","interest rate, short (policy), nominal","del","UU",
162,"INTN(NN)","interest rate, short (policy), nominal","del","NN",
163,"INTR(UU)","risk adjusted interest rate, short-run, real","del","UU",
164,"INTR(NN)","risk adjusted interest rate, short-run, real","del","NN",
165,"INTX(UU)","interest rate target","del","UU",
166,"INTX(NN)","interest rate target","del","NN",
167,"INV(a01,UU)","raw investment","gdp","UU",
168,"INV(a01,NN)","raw investment","gdp","NN",
169,"INV(a02,UU)","raw investment","gdp","UU",
170,"INV(a02,NN)","raw investment","gdp","NN",
171,"INVT(UU)","total cap goods demanded","gdp","UU",
172,"INVT(NN)","total cap goods demanded","gdp","NN",
173,"INVY(UU)","raw investment","gdp","UU",
174,"INVY(NN)","raw investment","gdp","NN",
175,"INVZ(UU)","HH investment","gdp","UU",
176,"INVZ(NN)","HH investment","gdp","NN",
177,"IRAS(UU)","net int pmts on for assets using INTR (USD)","gdp","UU",
178,"IRAS(NN)","net int pmts on for assets using INTR (USD)","gdp","NN",
179,"JNV(a01,UU)","installed investment","gdp","UU",
180,"JNV(a01,NN)","installed investment","gdp","NN",
181,"JNV(a02,UU)","installed investment","gdp","UU",
182,"JNV(a02,NN)","installed investment","gdp","NN",
183,"JNVY(UU)","installed RR investment","gdp","UU",
184,"JNVY(NN)","installed RR investment","gdp","NN",
185,"JNVZ(UU)","installed HH investment","gdp","UU",
186,"JNVZ(NN)","installed HH investment","gdp","NN",
187,"LAB(a01,UU)","sector demand for L","gdp","UU",
188,"LAB(a01,NN)","sector demand for L","gdp","NN",
189,"LAB(a02,UU)","sector demand for L","gdp","UU",
190,"LAB(a02,NN)","sector demand for L","gdp","NN",
191,"LABO(UU)","total labor demanded","gdp","UU",
192,"LABO(NN)","total labor demanded","gdp","NN",
193,"LABX(UU)","total labor supply","gdp","UU",
194,"LABX(NN)","total labor supply","gdp","NN",
195,"LAM(a01,UU)","costate var lambda","del","UU",
196,"LAM(a01,NN)","costate var lambda","del","NN",
197,"LAM(a02,UU)","costate var lambda","del","UU",
198,"LAM(a02,NN)","costate var lambda","del","NN",
199,"LAMY(UU)","costate var RR lambda","del","UU",
200,"LAMY(NN)","costate var RR lambda","del","NN",
201,"LAMZ(UU)","costate var HH lambda","del","UU",
202,"LAMZ(NN)","costate var HH lambda","del","NN",
203,"LGDPN(UU)","GDP, nominal","del","UU",
204,"LGDPN(NN)","GDP, nominal","del","NN",
205,"LGDPP(UU)","GDP, PPP","del","UU",
